x,y,t,vY,vX,vXinitial,vYinitial
0.09622962962962962,-0.006234375000000014,0.033333333333333326,-0.18703125000000004,2.88688888888889,1.509055555555556,0.12468750000000003
0.2121425925925926,-0.019742187500000008,0.06666666666666668,-0.40523437499999976,3.477388888888887,1.509055555555556,0.12468750000000003
0.33024259259259264,-0.039830729166666634,0.1,-0.6026562500000001,3.543000000000001,1.509055555555556,0.12468750000000003
0.4494361111111112,-0.0665,0.13333333333333333,-0.8000781250000002,3.5758055555555566,1.509055555555556,0.12468750000000003
0.5719101851851852,-0.10044270833333335,0.16666666666666666,-1.0182812500000002,3.674222222222223,1.509055555555556,0.12468750000000003
0.6965712962962963,-0.14131249999999995,0.19999999999999998,-1.2260937500000004,3.7398333333333347,1.509055555555556,0.12468750000000003
0.824512962962963,-0.1887630208333333,0.2333333333333333,-1.4235156250000003,3.8382500000000013,1.509055555555556,0.12468750000000003
0.9524546296296296,-0.24591145833333333,0.2666666666666667,-1.7144531249999977,3.8382499999999946,1.509055555555556,0.12468750000000003
1.079302777777778,-0.3065234375,0.30000000000000004,-1.8183593750000004,3.8054444444444453,1.509055555555556,0.12468750000000003
0.11591296296296297,-0.013507812499999994,0.033333333333333354,-0.40523437499999976,3.477388888888887,2.88688888888889,-0.18703125000000004
0.234012962962963,-0.03359635416666662,0.06666666666666668,-0.6026562500000001,3.543000000000001,2.88688888888889,-0.18703125000000004
0.3532064814814816,-0.06026562499999999,0.1,-0.8000781250000002,3.5758055555555566,2.88688888888889,-0.18703125000000004
0.47568055555555566,-0.09420833333333334,0.13333333333333333,-1.0182812500000002,3.674222222222223,2.88688888888889,-0.18703125000000004
0.6003416666666668,-0.13507812499999994,0.16666666666666666,-1.2260937500000004,3.7398333333333347,2.88688888888889,-0.18703125000000004
0.7282833333333334,-0.18252864583333328,0.19999999999999998,-1.4235156250000003,3.8382500000000013,2.88688888888889,-0.18703125000000004
0.856225,-0.23967708333333332,0.23333333333333336,-1.7144531249999977,3.8382499999999946,2.88688888888889,-0.18703125000000004
0.9830731481481483,-0.3002890625,0.2666666666666667,-1.8183593750000004,3.8054444444444453,2.88688888888889,-0.18703125000000004
0.11810000000000004,-0.020088541666666626,0.033333333333333326,-0.6026562500000001,3.543000000000001,3.477388888888887,-0.40523437499999976
0.2372935185185186,-0.046757812499999996,0.06666666666666665,-0.8000781250000002,3.5758055555555566,3.477388888888887,-0.40523437499999976
0.35976759259259267,-0.08070052083333334,0.09999999999999998,-1.0182812500000002,3.674222222222223,3.477388888888887,-0.40523437499999976
0.4844287037037038,-0.12157031249999994,0.1333333333333333,-1.2260937500000004,3.7398333333333347,3.477388888888887,-0.40523437499999976
0.6123703703703705,-0.1690208333333333,0.16666666666666663,-1.4235156250000003,3.8382500000000013,3.477388888888887,-0.40523437499999976
0.7403120370370371,-0.22616927083333332,0.2,-1.7144531249999977,3.8382499999999946,3.477388888888887,-0.40523437499999976
0.8671601851851853,-0.28678125,0.23333333333333334,-1.8183593750000004,3.8054444444444453,3.477388888888887,-0.40523437499999976
0.11919351851851856,-0.02666927083333337,0.033333333333333326,-0.8000781250000002,3.5758055555555566,3.543000000000001,-0.6026562500000001
0.24166759259259263,-0.06061197916666672,0.06666666666666665,-1.0182812500000002,3.674222222222223,3.543000000000001,-0.6026562500000001
0.36632870370370374,-0.10148177083333332,0.09999999999999998,-1.2260937500000004,3.7398333333333347,3.543000000000001,-0.6026562500000001
0.49427037037037036,-0.14893229166666666,0.1333333333333333,-1.4235156250000003,3.8382500000000013,3.543000000000001,-0.6026562500000001
0.622212037037037,-0.2060807291666667,0.16666666666666669,-1.7144531249999977,3.8382499999999946,3.543000000000001,-0.6026562500000001
0.7490601851851852,-0.26669270833333336,0.2,-1.8183593750000004,3.8054444444444453,3.543000000000001,-0.6026562500000001
0.12247407407407407,-0.03394270833333335,0.033333333333333326,-1.0182812500000002,3.674222222222223,3.5758055555555566,-0.8000781250000002
0.24713518518518518,-0.07481249999999995,0.06666666666666665,-1.2260937500000004,3.7398333333333347,3.5758055555555566,-0.8000781250000002
0.3750768518518518,-0.12226302083333329,0.09999999999999998,-1.4235156250000003,3.8382500000000013,3.5758055555555566,-0.8000781250000002
0.5030185185185184,-0.17941145833333333,0.13333333333333336,-1.7144531249999977,3.8382499999999946,3.5758055555555566,-0.8000781250000002
0.6298666666666667,-0.2400234375,0.16666666666666669,-1.8183593750000004,3.8054444444444453,3.5758055555555566,-0.8000781250000002
0.12466111111111111,-0.0408697916666666,0.033333333333333326,-1.2260937500000004,3.7398333333333347,3.674222222222223,-1.0182812500000002
0.25260277777777773,-0.08832031249999994,0.06666666666666665,-1.4235156250000003,3.8382500000000013,3.674222222222223,-1.0182812500000002
0.38054444444444435,-0.14546874999999998,0.10000000000000003,-1.7144531249999977,3.8382499999999946,3.674222222222223,-1.0182812500000002
0.5073925925925926,-0.20608072916666664,0.13333333333333336,-1.8183593750000004,3.8054444444444453,3.674222222222223,-1.0182812500000002
0.12794166666666662,-0.04745052083333334,0.033333333333333326,-1.4235156250000003,3.8382500000000013,3.7398333333333347,-1.2260937500000004
0.25588333333333324,-0.10459895833333338,0.06666666666666671,-1.7144531249999977,3.8382499999999946,3.7398333333333347,-1.2260937500000004
0.3827314814814815,-0.16521093750000004,0.10000000000000003,-1.8183593750000004,3.8054444444444453,3.7398333333333347,-1.2260937500000004
0.12794166666666662,-0.05714843750000004,0.03333333333333338,-1.7144531249999977,3.8382499999999946,3.8382500000000013,-1.4235156250000003
